player,minutes,estimated_value
Marcus Rashford,978,€58.6M
Mark Flekken,2735,€13.9M
Martin Dúbravka,900,€1.2M
Mateo Kovačić,1857,€25.3M
Mateus Fernandes,2409,€22.5M
Matheus Nunes,1224,€42.3M
Matheus Cunha,2164,€62.6M
Matt Doherty,1809,€4M
Matthijs de Ligt,2089,€50.8M
Matty Cash,1560,€32.8M
Matz Sels,2880,€10.2M
Max Kilman,2808,€39.3M
Maxence Lacroix,2486,€25.8M
Micky van de Ven,905,€62M
Mikel Merino,1345,€39.7M
Mikkel Damsgaard,2409,€28.6M
Mohamed Salah,2831,€18.3M
Mohammed Kudus,2167,€63M
Moisés Caicedo,2811,€82.8M
Morgan Rogers,2597,€79.6M
Morgan Gibbs-White,2288,€61.7M
Murillo,2748,€66M
Myles Lewis-Skelly,959,€35.7M
Nathan Collins,2880,€30.7M
Neco Williams,2054,€22.6M
Nick Pope,1890,€11.5M
Nicolas Jackson,1948,€66.9M
Nicolás Domínguez,1567,€18.8M
Nikola Milenković,2790,€40.6M
Noni Madueke,1601,€52.3M
Noussair Mazraoui,2475,€45.3M
Nélson Semedo,2415,€8.3M
Ola Aina,2569,€19.3M
Ollie Watkins,2167,€63.2M
Orel Mangala,1261,€24.4M
Pape Matar Sarr,1511,€50.8M
Pau Torres,1639,€46.1M
Paul Onuachu,916,€12.7M
Pedro Neto,1743,€60.4M
Pedro Porro,2373,€55.9M
Pervis Estupiñán,1952,€35.4M
Phil Foden,1686,€99.8M
Raúl Jiménez,1927,€5.2M
Rico Lewis,1810,€62.7M
Robert Sánchez,2340,€24.8M
Rodrigo Bentancur,1428,€31.4M
Rodrigo Muniz,908,€8.4M
Ryan Gravenberch,2741,€85.5M
Ryan Christie,2117,€16.2M
Ryan Yates,1742,€17.5M
Ryan Manning,1195,€3.8M
Rúben Dias,1731,€74.5M
Sam Morsy,2240,€1.3M
Sammie Szmodics,979,€14.1M
Sander Berge,1824,€27.9M
Sandro Tonali,2000,€52.1M
Santiago Bueno,1581,€11.3M
Saša Lukić,1879,€12.1M
Sepp van den Berg,2046,€26.4M
Stefan Ortega,920,€5.8M
Stephy Mavididi,1531,€13.2M
Sávio,1657,€74.8M
Taylor Harwood-Bellis,2390,€29.9M
Timothy Castagne,1522,€16.8M
Tomáš Souček,2150,€25.6M
Tosin Adarabioyo,1227,€24.8M
Toti Gomes,2074,€18.6M
Trent Alexander-Arnold,2145,€55.4M
Trevoh Chalobah,1060,€20.2M
Tyler Dibling,1667,€32M
Tyler Adams,1380,€24.5M
Tyrick Mitchell,2582,€25.1M
Tyrone Mings,961,€5.7M
Valentino Livramento,2210,€48.4M
Virgil van Dijk,2880,€16.6M
Vitaliy Mykolenko,2542,€33.5M
Vitaly Janelt,2250,€22.2M
Wes Burns,926,€2.1M
Wesley Fofana,1172,€30.4M
Wilfred Ndidi,1885,€20.4M
Will Hughes,1695,€7.3M
William Saliba,2634,€79.5M
Wout Faes,2275,€25.3M
Yankuba Minteh,1406,€42.6M
Yasin Ayari,1633,€21.5M
Yehor Yarmoliuk,964,€18M
Yoane Wissa,2380,€31.4M
Youri Tielemans,2735,€43.3M
Yukinari Sugawara,1467,€15.8M
Yves Bissouma,1210,€30M
Álex Moreno,955,€11.2M
İlkay Gündoğan,1787,€11M
Łukasz Fabiański,1070,€0.9M
